user_id,day_type,is_weekday,work_hours,screen_time_hours,meetings_count,breaks_taken,after_hours_work,sleep_hours,task_completion_rate,work_intensity_ratio,meeting_burden,break_adequacy,screen_time_per_meeting,workload_pressure,high_workload_flag,sleep_deficit,recovery_index,fatigue_risk,health_risk_score,poor_recovery_flag,task_efficiency,work_hours_productivity,work_life_balance_score,burnout_score,burnout_score_normalized,burnout_risk,high_burnout_risk_flag,medium_high_burnout_risk_flag,after_hours_work_hours_est
1,Weekday,1,9.59,11.86,4,2,0,7.55,91.2,1.22,0.41,0.21,2.89,10.59,1,0.45,-2.31,0.54,7.6,0,9.41,3289.28,42.26,19.17,11.79,Low,0,0,0
1,Weekend,0,7.38,10.33,4,1,0,6.69,82,1.38,0.53,0.13,2.52,8.38,1,1.31,-2.64,0.29,9.5,0,10.96,4165.6,32.66,29.7,19.23,Low,0,0,0
1,Weekend,0,6.31,8.92,1,2,0,8.87,80.6,1.39,0.16,0.31,8.11,6.56,0,-0.87,1.95,-4.38,0,0,12.57,4669.43,65.28,32.93,21.52,Low,0,0,0
1,Weekday,1,8.34,10.7,4,1,1,8.13,70,1.27,0.47,0.12,2.61,10.34,1,-0.13,-1.57,-1.5,0,0,8.29,3108,19.62,45.47,30.38,Low,0,0,0.83
1,Weekend,0,6.97,9.83,1,2,0,5.85,67.1,1.39,0.14,0.28,8.94,7.22,0,2.15,-1.98,1.06,21.3,1,9.49,3592.09,40,51.61,34.73,Low,0,0,0
1,Weekday,1,7.24,9.09,1,4,0,7.53,69.1,1.24,0.14,0.54,8.26,7.49,0,0.47,2.44,-2.2,2.35,0,9.41,3574.77,75.51,54.16,36.53,Low,0,0,0
1,Weekday,1,8.09,11.64,6,3,1,5.04,58.4,1.42,0.73,0.37,1.91,10.59,1,2.96,-3.6,4.08,55.6,1,7.13,2690.29,21.44,68.83,46.9,Low,0,0,0.81
1,Weekday,1,7.15,9.98,3,4,0,5.89,46.9,1.38,0.41,0.55,3.22,7.9,1,2.11,-0.09,1.15,22,1,6.47,2454.43,63.58,78.89,54.02,Medium,0,1,0
1,Weekday,1,8.72,11.8,1,2,0,6.19,49.8,1.34,0.11,0.23,10.73,8.97,0,1.81,-3.61,2.52,34.2,0,5.65,2084.96,35.55,84.39,57.91,Medium,0,1,0
1,Weekend,0,5.93,9.17,0,4,0,7.88,55.6,1.52,0,0.66,91.7,5.93,0,0.12,2.71,-2.65,0.6,0,9.22,3361.95,83.38,83.86,57.53,Medium,0,1,0
2,Weekend,0,3,6.81,3,5,1,7.49,84.2,2.2,0.97,1.61,2.2,4.75,0,0.51,5.68,-4.42,2.55,0,27.16,6736,84.18,17.37,10.51,Low,0,0,0.3
2,Weekday,1,7.96,11.25,3,3,0,6.23,98.3,1.4,0.37,0.37,3.63,8.71,1,1.77,-2.02,1.9,27.9,0,12.2,4613.55,50.88,14.76,8.67,Low,0,0,0
2,Weekend,0,5.05,7.38,0,5,0,5.76,84.5,1.43,0,0.97,73.8,5.05,0,2.24,3.38,-1.26,11.2,0,16.41,5605.17,83,20.89,13,Low,0,0,0
2,Weekend,0,3.79,6.12,3,1,1,5.81,90.3,1.57,0.77,0.26,1.97,5.54,0,2.19,0.69,-2.6,10.95,0,23.21,6748.42,20.41,20.52,12.74,Low,0,0,0.38
2,Weekend,0,4.69,7.09,1,5,1,7.92,85.8,1.48,0.21,1.04,6.45,5.94,0,0.08,5.83,-4.79,0.4,0,17.91,5897.32,80.64,23.1,14.57,Low,0,0,0.47
2,Weekend,0,3,5.05,0,3,1,7.75,85.1,1.63,0,0.97,50.5,4,0,0.25,5.7,-6.58,1.25,0,27.45,6808,62.12,23.44,14.81,Low,0,0,0.3
2,Weekday,1,6.49,9.6,3,1,0,7.37,79,1.46,0.46,0.15,3.1,7.24,1,0.63,-1.23,-1.46,3.15,0,11.99,4481.93,41.32,28.23,18.19,Low,0,0,0
2,Weekday,1,10.04,11.83,3,3,1,7.6,80.7,1.17,0.3,0.3,3.82,11.79,1,0.4,-1.23,0.43,6.3,0,7.96,2668.48,32.84,31.62,20.59,Low,0,0,1
2,Weekend,0,3.12,5.08,0,4,0,6.65,77.3,1.58,0,1.24,50.8,3.12,0,1.35,5.57,-4.9,6.75,0,24.01,6122.16,85.4,32.6,21.28,Low,0,0,0
2,Weekday,1,6.83,8.81,7,5,0,6.03,74.4,1.27,1.01,0.72,1.24,8.58,1,1.97,2.22,-0.23,9.85,0,10.74,4052.32,77.9,36.7,24.18,Low,0,0,0
3,Weekend,0,4.49,6.53,2,1,0,6.21,103,1.42,0.44,0.22,3.11,4.99,0,1.79,0.68,-2.78,8.95,0,22.44,7216.87,40.62,3.78,0.91,Low,0,0,0
3,Weekend,0,5.47,8.1,2,2,1,7.97,92.3,1.45,0.36,0.36,3.86,6.97,0,0.03,1.87,-3.86,0.15,0,16.57,5864.13,41.9,9.83,5.18,Low,0,0,0.55
3,Weekday,1,7.71,11.12,1,1,0,7.57,86,1.42,0.13,0.13,10.11,7.96,0,0.43,-2.55,-0.24,2.15,0,11.01,4179.6,37.94,14.72,8.64,Low,0,0,0
3,Weekday,1,8.94,12.85,4,2,0,6.79,84.4,1.42,0.44,0.22,3.13,9.94,1,1.21,-4.06,2.66,32.7,0,9.34,3409.76,39.16,19.01,11.67,Low,0,0,0
3,Weekday,1,6.99,8.58,1,5,0,6.51,90.1,1.21,0.14,0.71,7.8,7.24,0,1.49,2.93,-1.19,7.45,0,12.71,4811.34,80.86,18.12,11.05,Low,0,0,0
3,Weekday,1,7.69,9.7,6,4,1,5.3,86.7,1.25,0.77,0.51,1.59,10.19,1,2.7,-0.4,1.75,31,1,11.13,4225.18,36.99,23.36,14.75,Low,0,0,0.77
3,Weekday,1,10.01,13.75,3,4,0,6.51,79.3,1.36,0.3,0.4,4.44,10.76,1,1.49,-3.24,3.98,47.3,0,7.84,2638.05,56.78,29.98,19.43,Low,0,0,0
3,Weekend,0,3.85,7.57,1,5,0,5.49,82.8,1.92,0.25,1.27,6.88,4.1,0,2.51,2.92,-0.66,12.55,0,20.96,6154.8,85.78,29.12,18.82,Low,0,0,0
3,Weekend,0,4.31,7.55,3,1,0,7.3,80.8,1.71,0.68,0.23,2.44,5.06,0,0.7,0.75,-3.4,3.5,0,18.32,5758.35,49.51,31.2,20.29,Low,0,0,0
3,Weekend,0,5.54,8.48,2,3,0,7.79,78.6,1.5,0.35,0.53,4.04,6.04,0,0.21,2.31,-3.2,1.05,0,13.94,4957.04,72.26,33.26,21.75,Low,0,0,0
4,Weekday,1,9.43,12.64,3,1,0,5.32,98.4,1.33,0.31,0.1,4.08,10.18,1,2.68,-6.32,4.66,60,1,10.33,3653.92,14.18,18.66,11.43,Low,0,0,0
4,Weekend,0,3.81,7.4,2,4,1,8.55,89.3,1.89,0.51,1.02,3.52,5.31,0,-0.55,5.15,-5.43,0,0,22.84,6661.78,76.89,24.25,15.38,Low,0,0,0.38
4,Weekend,0,4.6,6.58,0,4,1,8.06,86.4,1.4,0,0.85,65.8,5.6,0,-0.06,5.48,-5.51,0,0,18.38,5990.4,70.05,26.79,17.18,Low,0,0,0.46
4,Weekend,0,5.42,7.17,1,3,0,6.76,81.1,1.3,0.18,0.54,6.52,5.67,0,1.24,2.59,-2.97,6.2,0,14.69,5179.59,65.02,31.26,20.34,Low,0,0,0
4,Weekend,0,5.5,9.35,2,1,0,6.85,75,1.67,0.36,0.18,4.45,6,0,1.15,-1.5,-0.92,5.75,0,13.39,4750,41.38,38.22,25.26,Low,0,0,0
4,Weekend,0,3.28,5.87,1,2,0,6.59,78.3,1.74,0.3,0.59,5.34,3.53,0,1.41,2.72,-4.01,7.05,0,23.17,6117.84,60.3,37.68,24.88,Low,0,0,0
4,Weekend,0,4.91,8.74,0,5,0,8.54,76.1,1.74,0,1,87.4,4.91,0,-0.54,4.8,-4.07,0,0,15.19,5118.99,100,38.86,25.71,Low,0,0,0
4,Weekday,1,9.24,11.96,2,4,0,10.06,77.9,1.28,0.21,0.43,5.7,9.74,0,-2.06,2.1,-3.13,0,0,8.34,2991.36,86.49,43.47,28.97,Low,0,0,0
4,Weekend,0,6.05,7.89,1,5,1,5.37,59.2,1.28,0.16,0.81,7.17,7.3,0,2.63,2.48,-0.17,13.15,0,9.63,3532.27,56.08,55.61,37.55,Low,0,0,0.6
4,Weekday,1,9.01,12.18,4,1,0,6.94,56.2,1.34,0.44,0.11,2.97,10.01,1,1.06,-4.24,1.77,23,0,6.17,2244.25,28.01,66.05,44.94,Low,0,0,0
5,Weekday,1,10.73,12.33,3,4,0,7.55,83.7,1.14,0.28,0.37,3.98,11.48,1,0.45,-0.78,1.01,12.3,0,7.73,2382.66,61.7,19.12,11.75,Low,0,0,0
5,Weekend,0,5.59,7.2,0,1,0,6.51,93.5,1.27,0,0.18,72,5.59,0,1.49,0.31,-2.57,7.45,0,16.43,5865.57,38.46,17.49,10.6,Low,0,0,0
5,Weekend,0,3.78,6.39,1,1,0,5.11,80,1.65,0.26,0.26,5.81,4.03,0,2.89,-0.28,-1.28,14.45,1,20.62,5984,35.2,24.92,15.85,Low,0,0,0
5,Weekend,0,6.54,9.05,1,3,0,7.6,86.6,1.36,0.15,0.45,8.23,6.79,0,0.4,1.55,-2.35,2,0,13.04,4884.24,66.84,24.99,15.9,Low,0,0,0
5,Weekday,1,10,13.71,1,5,0,5.85,77.9,1.36,0.1,0.5,12.46,10.25,0,2.15,-2.86,4.94,60.1,1,7.71,2596.67,63.88,34.9,22.91,Low,0,0,0
5,Weekend,0,4.09,5.96,0,5,1,7.15,82.5,1.42,0,1.19,59.6,5.09,0,0.85,6.19,-4.77,4.25,0,19.69,6000.5,77.26,33.75,22.1,Low,0,0,0.41
5,Weekend,0,3.36,5.03,2,4,0,7.07,67.6,1.45,0.58,1.16,2.4,3.86,0,0.93,6.04,-5.58,4.65,0,19.54,5245.76,87.58,39.77,26.35,Low,0,0,0
5,Weekday,1,6.92,9.62,1,2,0,7.04,74.3,1.37,0.14,0.28,8.75,7.17,0,0.96,-0.58,-0.94,4.8,0,10.58,4002.29,49.12,40.78,27.07,Low,0,0,0
5,Weekday,1,8.91,12.54,5,2,1,7.1,71.4,1.39,0.55,0.22,2.46,11.16,1,0.9,-3.44,1.89,23.4,0,7.92,2898.84,21.61,50.65,34.05,Low,0,0,0.89
5,Weekend,0,4.74,8.49,0,5,0,8.71,60.8,1.75,0,1.03,84.9,4.74,0,-0.71,5.22,-4.58,0,0,12.56,4158.72,100,54.85,37.02,Low,0,0,0
6,Weekend,0,4.78,6.56,2,3,0,7.58,97.5,1.34,0.41,0.61,3.12,5.28,0,0.42,4.02,-4.81,2.1,0,19.98,6643,73.73,8.29,4.09,Low,0,0,0
6,Weekday,1,6.12,9.64,2,2,1,5.87,82.9,1.55,0.32,0.32,4.59,7.62,0,2.13,-1.77,0.84,19,1,13.33,4907.68,23.54,20.43,12.68,Low,0,0,0.61
6,Weekday,1,8.82,11.33,4,2,0,6.64,87.3,1.27,0.45,0.22,2.76,9.82,1,1.36,-2.69,1.37,20.5,0,9.79,3596.76,38.52,26.64,17.07,Low,0,0,0
6,Weekend,0,4.22,7.35,2,4,0,6.31,87.3,1.7,0.46,0.93,3.5,4.72,0,1.69,2.96,-2.12,8.45,0,20.21,6273.96,78.44,28.52,18.4,Low,0,0,0
6,Weekend,0,5.65,7.69,2,1,0,8.07,73.8,1.34,0.35,0.17,3.66,6.15,0,-0.07,1.38,-4.42,0,0,12.83,4600.2,49.92,36.97,24.37,Low,0,0,0
6,Weekend,0,3.34,5.52,0,5,0,8.28,85.1,1.6,0,1.45,55.2,3.34,0,-0.28,7.76,-6.9,0,0,24.74,6615.11,100,30.66,19.91,Low,0,0,0
6,Weekend,0,4.03,6.54,0,1,0,6.73,79.6,1.58,0,0.24,65.4,4.03,0,1.27,1.19,-3.56,6.35,0,19.27,5821.41,46.36,34.08,22.33,Low,0,0,0
6,Weekday,1,9.56,11.94,3,1,0,7.66,74.5,1.24,0.31,0.1,3.85,10.31,1,0.34,-3.28,0.45,6.2,0,7.71,2701.87,31.21,44.12,29.43,Low,0,0,0
